Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;99597170-4;DOMINION SPA;44;14/07/2025;14/07/2025 10:16:24;;;0;7232345;1374146;8606491;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
2;33;Del Giro;99597170-4;DOMINION SPA;45;14/07/2025;14/07/2025 10:23:07;;;0;14107935;2680508;16788443;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
3;33;Del Giro;99597170-4;DOMINION SPA;46;14/07/2025;14/07/2025 10:28:27;;;0;4299241;816856;5116097;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
4;33;Del Giro;99597170-4;DOMINION SPA;47;14/07/2025;14/07/2025 10:35:15;;;0;1490342;283165;1773507;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
5;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;48;14/07/2025;14/07/2025 19:41:36;;15/07/2025 09:54:12;0;4496372;854311;5350683;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
6;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;49;15/07/2025;15/07/2025 21:48:29;17/07/2025 10:18:17;;0;4596372;873311;5469683;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
7;33;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;50;23/07/2025;23/07/2025 09:05:35;23/07/2025 10:17:06;;0;15532697;2951212;18483909;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
8;61;Del Giro;76982036-1;ATP FIBER CHILE SPA;1;15/07/2025;15/07/2025 10:12:32;;;0;4496372;854311;5350683;0;0;0;0;0;-;0;0;0;0;33;48;;;0;;0;0;0;0;0;;;;90438277;;;;;
