Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;76053001-8;SERVICIOS ROBOCON LIMITADA;51;04/08/2025;04/08/2025 10:04:05;;;0;1575200;299288;1874488;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90438277;;;;;
2;33;Del Giro;99597170-4;DOMINION SPA;52;12/08/2025;12/08/2025 18:12:38;20/08/2025 12:11:30;;0;5366675;1019668;6386343;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
3;33;Del Giro;99597170-4;DOMINION SPA;53;12/08/2025;12/08/2025 18:18:33;20/08/2025 12:11:30;;0;12633837;2400429;15034266;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
4;33;Del Giro;99597170-4;DOMINION SPA;54;12/08/2025;12/08/2025 18:22:54;20/08/2025 12:11:30;;0;564428;107241;671669;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
5;33;Del Giro;99597170-4;DOMINION SPA;55;13/08/2025;13/08/2025 10:04:08;20/08/2025 12:11:47;;0;38182503;7254676;45437179;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
6;33;Del Giro;76053001-8;SERVICIOS ROBOCON LIMITADA;56;21/08/2025;21/08/2025 12:33:24;;;0;621500;118085;739585;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;1;0;0;0;;;;90438277;;;;;
7;33;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;57;25/08/2025;25/08/2025 12:31:13;26/08/2025 11:55:31;;0;13379674;2542138;15921812;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
