Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;96722460-K;METROGAS S.A.;1299250;01/04/2025;01/04/2025 08:38:38;01/04/2025 13:59:03;0;0;0;;;0;;;;;0;;;;0;;;;
2;33;Del Giro;76874179-4;COMERCIALIZADORA NIBEC LIMITADA;15403;01/04/2025;01/04/2025 10:02:10;04/04/2025 07:45:53;0;172252;32728;;;204980;;;;;0;;;;0;;;;
3;33;Del Giro;76580606-2;Factory Comercio Spa;4167;31/03/2025;01/04/2025 15:43:24;;0;1168860;222083;;;1390943;;;;;0;;;;0;;;;
4;33;Del Giro;78493650-3;RIADI SpA.;415808;02/04/2025;01/04/2025 17:02:15;;0;64124;12184;;;76308;;;;;0;;;;0;;;;
5;33;Del Giro;96894230-1;SILPAK S.A.;29664;02/04/2025;01/04/2025 17:22:43;02/04/2025 10:17:37;0;440500;83695;;;524195;;;;;0;;;;0;;;;
6;33;Del Giro;8111544-3;MANUEL OMAR GARRIDO ALCAINO;3253;01/04/2025;01/04/2025 19:50:55;02/04/2025 10:17:37;0;516000;98040;;;614040;;;;;0;;;;0;;;;
7;33;Del Giro;76058647-1;VERISURE CHILE SPA;10357373;01/04/2025;02/04/2025 00:20:05;02/04/2025 10:17:37;0;43178;8204;;;51382;;;;;0;;;;0;;;;
8;33;Del Giro;76197149-2;COMERCIAL Y SERVICIOS TARAHUIN LIMITADA;640127;02/04/2025;02/04/2025 10:38:52;;0;27533;5231;;;39499;;;;;0;;;;0;28;6735;0;
9;33;Del Giro;76501083-7;DISPARO SPA;8092;02/04/2025;02/04/2025 12:10:17;03/04/2025 09:50:05;0;16723;3177;;;19900;;;;;0;;;;0;;;;
10;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516283;02/04/2025;02/04/2025 17:57:07;;0;6928;1316;;;8244;;;;;0;;;;0;;;;
11;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516286;02/04/2025;02/04/2025 18:02:18;;0;9047;1719;;;10766;;;;;0;;;;0;;;;
12;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516287;02/04/2025;02/04/2025 18:13:59;;0;6812;1294;;;8106;;;;;0;;;;0;;;;
13;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516448;02/04/2025;02/04/2025 18:20:16;;0;9337;1774;;;11111;;;;;0;;;;0;;;;
14;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516670;02/04/2025;02/04/2025 19:03:51;;0;11743;2231;;;13974;;;;;0;;;;0;;;;
15;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516671;02/04/2025;02/04/2025 19:03:51;;0;6893;1310;;;8203;;;;;0;;;;0;;;;
16;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516711;02/04/2025;02/04/2025 19:06:41;;0;12795;2431;;;15226;;;;;0;;;;0;;;;
17;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2516851;02/04/2025;02/04/2025 19:12:51;;0;11357;2158;;;13515;;;;;0;;;;0;;;;
18;33;Del Giro;78116970-6;Importadora Soviquim Limitada;363828;03/04/2025;03/04/2025 11:49:32;03/04/2025 15:38:43;0;85690;16281;;;101971;;;;;0;;;;0;;;;
19;33;Del Giro;76548591-6;CAMIPLAS SPA;146553;03/04/2025;03/04/2025 12:11:50;03/04/2025 15:38:43;0;551697;104822;;;656519;;;;;0;;;;0;;;;
20;33;Del Giro;77521772-3;FERRETERIA PIZARROJEDA LIMITADA;8505;03/04/2025;03/04/2025 16:49:22;;0;2017;383;;;2400;;;;;0;;;;0;;;;
21;33;Del Giro;76110335-0;MANUEL EDUARDO LETELIER SANHUEZA, SERVICIOS INFORMATICOS E.I.R.L.;4260;03/04/2025;03/04/2025 17:23:41;04/04/2025 09:26:03;0;58364;11089;;;69453;;;;;0;;;;0;;;;
22;33;Del Giro;78116970-6;Importadora Soviquim Limitada;363856;04/04/2025;04/04/2025 09:38:36;07/04/2025 09:46:18;0;576483;109532;;;686015;;;;;0;;;;0;;;;
23;33;Del Giro;76548591-6;CAMIPLAS SPA;146574;04/04/2025;04/04/2025 15:46:31;07/04/2025 09:46:18;0;2400000;456000;;;2856000;;;;;0;;;;0;;;;
24;33;Del Giro;78493650-3;RIADI SpA.;416226;07/04/2025;04/04/2025 17:02:06;;0;42000;7980;;;49980;;;;;0;;;;0;;;;
25;33;Del Giro;5744296-4;RODOLFO EDUARDO CROXATTO OVANDO;1145;04/04/2025;04/04/2025 17:02:51;;0;495000;94050;;;589050;;;;;0;;;;0;;;;
26;33;Del Giro;97004000-5;Banco de Chile;43260405;21/03/2025;04/04/2025 19:56:30;;0;23189;4406;;;27595;;;;;0;;;;0;;;;
27;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2528681;05/04/2025;05/04/2025 16:20:33;;0;16589;3152;;;19741;;;;;0;;;;0;;;;
28;33;Del Giro;96938840-5;BLUE EXPRESS S.A;2528682;05/04/2025;05/04/2025 16:23:15;;0;13614;2587;;;16201;;;;;0;;;;0;;;;
29;33;Del Giro;81201000-K;CENCOSUD RETAIL S.A.;23920595;06/04/2025;06/04/2025 12:17:24;;0;28546;5424;;;33970;;;;;0;;;;0;;;;
30;33;Del Giro;7070497-8;MIGUEL ANGEL LOPEZ ARAVENA;483;07/04/2025;07/04/2025 10:00:50;;0;292500;55575;;;348075;;;;;0;;;;0;;;;
31;33;Del Giro;7989878-3;GERARDO ANTONIO VEGA NEIRA;2601;07/04/2025;07/04/2025 10:28:34;08/04/2025 09:10:46;0;170000;32300;;;202300;;;;;0;;;;0;;;;
32;33;Del Giro;77697733-0;COMERCIAL Y SERVICIOS MORELOS LIMITADA;62961;07/04/2025;07/04/2025 12:29:23;;0;10782;2049;;;15000;;;;;0;;;;0;28;2169;0;
33;33;Del Giro;77404174-5;DISTRIBUIDORA PLASTICOS ARIRANG SPA;17255;07/04/2025;07/04/2025 12:52:23;;0;23513;4467;;;27980;;;;;0;;;;0;;;;
34;33;Del Giro;79722860-5;WINKLER LIMITADA;793966;07/04/2025;07/04/2025 15:06:10;;0;120000;22800;;;142800;;;;;0;;;;0;;;;
35;33;Del Giro;77719471-2;PAPELERA CHILE SPA;4675;08/04/2025;08/04/2025 08:25:29;08/04/2025 09:10:46;0;1470000;279300;;;1749300;;;;;0;;;;0;;;;
36;33;Del Giro;76063620-7;SOCIEDAD COMERCIALIZADORA GLASS LAB LIMITADA;29037;08/04/2025;08/04/2025 09:19:38;;0;108000;20520;;;128520;;;;;0;;;;0;;;;
