Nro;Tipo Doc;Tipo Venta;Rut cliente;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse Recibo;Fecha Reclamo;Monto Exento;Monto Neto;Monto IVA;Monto total;IVA Retenido Total;IVA Retenido Parcial;IVA no retenido;IVA propio;IVA Terceros;RUT Emisor Liquid. Factura;Neto Comision Liquid. Factura;Exento Comision Liquid. Factura;IVA Comision Liquid. Factura;IVA fuera de plazo;Tipo Docto. Referencia;Folio Docto. Referencia;Num. Ident. Receptor Extranjero;Nacionalidad Receptor Extranjero;Credito empresa constructora;Impto. Zona Franca (Ley 18211);Garantia Dep. Envases;Indicador Venta sin Costo;Indicador Servicio Periodico;Monto No facturable;Total Monto Periodo;Venta Pasajes Transporte Nacional;Venta Pasajes Transporte Internacional;Numero Interno;Codigo Sucursal;NCE o NDE sobre Fact. de Compra;Codigo Otro Imp.;Valor Otro Imp.;Tasa Otro Imp.
1;33;Del Giro;99597170-4;DOMINION SPA;14;12/03/2025;12/03/2025 10:25:25;;;0;3263752;620113;3883865;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
2;33;Del Giro;76749017-8;ZENER AUSTRAL LIMITADA;15;17/03/2025;17/03/2025 20:54:02;18/03/2025 16:58:43;;0;10834571;2058568;12893139;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
3;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;16;22/03/2025;22/03/2025 20:59:04;24/03/2025 15:02:59;;0;2620000;497800;3117800;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
4;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;17;22/03/2025;22/03/2025 21:02:44;24/03/2025 15:03:03;;0;118298;22477;140775;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
5;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;18;22/03/2025;22/03/2025 21:05:49;24/03/2025 15:03:09;;0;1800739;342140;2142879;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
6;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;19;26/03/2025;26/03/2025 17:15:43;27/03/2025 09:45:16;;0;2901702;551323;3453025;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
7;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;20;26/03/2025;26/03/2025 17:23:09;27/03/2025 09:45:18;;0;4000427;760081;4760508;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
8;33;Del Giro;76982036-1;ATP FIBER CHILE SPA;21;28/03/2025;28/03/2025 15:32:00;31/03/2025 16:54:53;;0;20536515;3901938;24438453;0;0;0;0;0;-;0;0;0;0;0;;;;0;;0;2;0;0;0;;;;90438277;;;;;
