Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
1;33;Del Giro;99520000-7;COPEC S.A.;29061990;31/10/2025;03/11/2025 09:59:05;;0;1369530;260212;;;1902814;;;;39738;0;;;;0;28;233334;0;
;33;Del Giro;99520000-7;COPEC S.A.;29061990;31/10/2025;;;;;;;;;;;;;;;;;;35;39738;0;
2;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;15103;03/11/2025;03/11/2025 10:04:42;;0;3500;665;;;4165;;;;;0;;;;0;;;;
3;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;15108;03/11/2025;03/11/2025 10:16:21;;0;3500;665;;;4165;;;;;0;;;;0;;;;
4;33;Del Giro;76111453-0;GO CAPITAL SPA;29818;31/10/2025;03/11/2025 14:01:05;;0;83000;15770;;;98770;;;;;0;;;;0;;;;
5;33;Del Giro;77235104-6;INVERSIONES Y COMERCIAL FERRECOM SPA;102302;04/11/2025;04/11/2025 14:09:41;;0;5499;1045;;;6544;;;;;0;;;;0;;;;
6;33;Del Giro;76468732-9;ASESORIAS AUDITORIAS E INVERSIONES CERTILAP CHILE S.A.;15131;05/11/2025;05/11/2025 11:56:39;;0;700;133;;;833;;;;;0;;;;0;;;;
7;33;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;4651241;04/11/2025;05/11/2025 16:44:41;;45019;1204;229;;;46452;;;;;0;;;;0;;;;
8;33;Del Giro;76886939-1;COMERCIAL Y SERVICIOS F Y D LIMITADA;191068;05/11/2025;05/11/2025 18:53:18;;0;36661;6965;;;50000;;;;;0;;;;0;28;6374;0;
9;33;Del Giro;96548810-3;SOC DE SERVICIOS LOS CANELOS DE MIRAFLORES S.A.;19973;05/11/2025;05/11/2025 23:00:29;;0;268545;51024;;;319569;;;;;0;;;;0;;;;
10;33;Del Giro;96548810-3;SOC DE SERVICIOS LOS CANELOS DE MIRAFLORES S.A.;19974;05/11/2025;05/11/2025 23:00:26;;0;298467;56709;;;355176;;;;;0;;;;0;;;;
11;33;Del Giro;76940039-7;SOCIEDAD COMERCIAL ESCOBAR SpA;19775;06/11/2025;06/11/2025 13:23:20;;0;12396;2355;;;14751;;;;;0;;;;0;;;;
12;33;Del Giro;78229820-8;VALENCIA Y PACHECO LIMITADA;2075866;06/11/2025;06/11/2025 13:45:23;;0;14990;2848;;;20000;;;;;0;;;;0;28;2162;0;
13;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;21982977;06/11/2025;06/11/2025 15:57:19;;0;26076;4954;;;35000;;;;;0;;;;0;28;3970;0;
14;33;Del Giro;77587648-4;COMERCIAL Y SERVICIOS SAN ISIDRO LIMITAD;78702;06/11/2025;06/11/2025 20:18:53;;0;37282;7083;;;50000;;;;;0;;;;0;28;5635;0;
15;33;Del Giro;78759950-8;SOCIEDAD COMERCIAL EL MAYORAZGO LTD;366983;06/11/2025;06/11/2025 20:56:03;;0;30045;5708;;;40000;;;;;0;;;;0;28;4247;0;
16;33;Del Giro;76464286-4;SOC COMERC NUEVA LONCOMILLA LIMITADA;756901;06/11/2025;06/11/2025 20:58:08;;0;29953;5691;;;40000;;;;;0;;;;0;28;4356;0;
17;33;Del Giro;76940039-7;SOCIEDAD COMERCIAL ESCOBAR SpA;19795;07/11/2025;07/11/2025 12:00:11;;0;3528;670;;;4198;;;;;0;;;;0;;;;
18;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;21997832;07/11/2025;07/11/2025 20:27:45;;0;7494;1424;;;10000;;;;;0;;;;0;28;1082;0;
